"Date","Confirmed","Deaths","Recovered","Active","In.ITU","Tests","Mortality_rate","Recovery_rate","Confirmed_change","Growth_rate","Growth_rate_change","Growth_rate_accel","Confirmed_per_test"
2020-01-22,0,0,0,0,0,729,NA,NA,NA,NA,NA,NA,0
2020-01-23,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-24,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-25,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-26,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-27,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-28,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-29,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-30,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-31,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-01,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-02,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-03,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-04,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-05,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-06,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-07,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-08,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-09,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-10,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-11,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-12,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-13,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-14,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-15,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-16,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-17,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-18,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-19,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-20,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-21,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-22,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-23,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-24,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-25,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-26,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-27,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-28,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-29,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-01,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-02,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-03,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-04,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-05,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-06,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-07,3,0,0,3,0,729,0,0,3,1,NA,NA,0.00411522633744856
2020-03-08,3,0,0,3,0,729,0,0,0,0,-1,-Inf,0.00411522633744856
2020-03-09,3,0,0,3,0,729,0,0,0,0,0,NA,0.00411522633744856
2020-03-10,5,0,0,5,0,729,0,0,2,0.4,0.4,1,0.00685871056241427
2020-03-11,6,0,0,6,0,729,0,0,1,0.166666666666667,-0.233333333333333,-1.4,0.00823045267489712
2020-03-12,6,0,0,6,0,729,0,0,0,0,-0.166666666666667,-Inf,0.00823045267489712
2020-03-13,12,0,1,11,0,729,0,0.0833333333333333,6,0.5,0.5,1,0.0164609053497942
2020-03-14,18,0,1,17,0,729,0,0.0555555555555556,6,0.333333333333333,-0.166666666666667,-0.5,0.0246913580246914
2020-03-15,21,0,1,20,0,729,0,0.0476190476190476,3,0.142857142857143,-0.19047619047619,-1.33333333333333,0.0288065843621399
2020-03-16,30,0,2,28,0,729,0,0.0666666666666667,9,0.3,0.157142857142857,0.523809523809524,0.0411522633744856
2020-03-17,38,0,2,36,0,729,0,0.0526315789473684,8,0.210526315789474,-0.0894736842105263,-0.425,0.0521262002743484
2020-03-18,48,0,2,36,0,729,0,0.0416666666666667,10,0.208333333333333,-0.00219298245614033,-0.0105263157894736,0.065843621399177
2020-03-19,53,0,2,51,0,729,0,0.0377358490566038,5,0.0943396226415094,-0.113993710691824,-1.20833333333333,0.0727023319615912
2020-03-20,64,0,2,62,1,729,0,0.03125,11,0.171875,0.0775353773584906,0.451114922813036,0.0877914951989026
2020-03-21,73,0,2,71,1,729,0,0.0273972602739726,9,0.123287671232877,-0.0485873287671233,-0.394097222222222,0.100137174211248
2020-03-22,90,0,2,88,1,729,0,0.0222222222222222,17,0.188888888888889,0.0656012176560122,0.347300564061241,0.123456790123457
2020-03-23,107,0,2,105,1,729,0,0.0186915887850467,17,0.158878504672897,-0.0300103842159917,-0.188888888888889,0.146776406035665
2020-03-24,110,0,2,108,1,729,0,0.0181818181818182,3,0.0272727272727273,-0.13160577740017,-4.82554517133956,0.150891632373114
2020-03-25,129,0,2,127,1,729,0,0.0155038759689922,19,0.147286821705426,0.120014094432699,0.814832535885167,0.176954732510288
2020-03-26,134,0,2,132,1,729,0,0.0149253731343284,5,0.0373134328358209,-0.109973388869605,-2.94728682170543,0.183813443072702
2020-03-27,139,0,2,137,2,729,0,0.0143884892086331,5,0.0359712230215827,-0.00134220981423816,-0.0373134328358209,0.190672153635117
2020-03-28,149,0,2,147,3,729,0,0.0134228187919463,10,0.0671140939597315,0.0311428709381488,0.464028776978417,0.204389574759945
2020-03-29,151,0,2,149,4,729,0,0.0132450331125828,2,0.0132450331125828,-0.0538690608471488,-4.06711409395973,0.207133058984911
2020-03-30,156,0,2,154,4,729,0,0.0128205128205128,5,0.032051282051282,0.0188062489386993,0.586754966887417,0.213991769547325
2020-03-31,169,0,2,167,2,729,0,0.0118343195266272,13,0.0769230769230769,0.0448717948717949,0.583333333333333,0.231824417009602
2020-04-01,188,0,2,186,2,729,0,0.0106382978723404,19,0.101063829787234,0.0241407528641571,0.238866396761133,0.257887517146776
2020-04-02,195,0,2,193,2,729,0,0.0102564102564103,7,0.0358974358974359,-0.0651663938897981,-1.81534954407295,0.267489711934156
2020-04-03,202,0,2,200,1,729,0,0.0099009900990099,7,0.0346534653465347,-0.00124397055090124,-0.0358974358974357,0.277091906721536
2020-04-04,213,0,2,211,3,729,0,0.00938967136150235,11,0.0516431924882629,0.0169897271417283,0.328982898289829,0.292181069958848
2020-04-05,227,0,5,222,3,729,0,0.0220264317180617,14,0.0616740088105727,0.0100308163223098,0.162642521797451,0.311385459533608
2020-04-06,241,0,5,236,3,729,0,0.020746887966805,14,0.0580912863070539,-0.00358272250351874,-0.0616740088105727,0.330589849108368
2020-04-07,293,0,5,288,4,729,0,0.0170648464163823,52,0.177474402730375,0.119383116423321,0.672677944462177,0.401920438957476
2020-04-08,299,1,16,282,4,729,0.00334448160535117,0.0535117056856187,6,0.020066889632107,-0.157407513098268,-7.84414106939704,0.410150891632373
2020-04-09,337,2,16,319,4,729,0.00593471810089021,0.0474777448071217,38,0.112759643916914,0.0926927542848069,0.822038373525788,0.462277091906722
2020-04-10,350,2,16,332,4,729,0.00571428571428571,0.0457142857142857,13,0.0371428571428571,-0.0756167867740568,-2.03583656699384,0.480109739368999
2020-04-11,370,3,16,351,4,729,0.00810810810810811,0.0432432432432432,20,0.0540540540540541,0.0169111969111969,0.312857142857143,0.507544581618656
2020-04-12,378,3,44,331,4,729,0.00793650793650794,0.116402116402116,8,0.0211640211640212,-0.0328900328900329,-1.55405405405405,0.518518518518518
2020-04-13,384,3,44,337,2,729,0.0078125,0.114583333333333,6,0.015625,-0.00553902116402116,-0.354497354497354,0.526748971193416
2020-04-14,393,3,44,346,2,729,0.00763358778625954,0.111959287531807,9,0.0229007633587786,0.00727576335877863,0.317708333333333,0.539094650205761
2020-04-15,399,3,44,352,2,729,0.0075187969924812,0.110275689223058,6,0.0150375939849624,-0.00786316937381622,-0.522900763358779,0.547325102880658
2020-04-16,412,3,82,327,2,729,0.00728155339805825,0.199029126213592,13,0.0315533980582524,0.01651580407329,0.523423944476576,0.565157750342936
2020-04-17,422,3,91,328,2,729,0.00710900473933649,0.21563981042654,10,0.023696682464455,-0.00785671559379745,-0.331553398058253,0.578875171467764
2020-04-18,426,3,99,324,2,729,0.00704225352112676,0.232394366197183,4,0.00938967136150235,-0.0143070111029526,-1.52369668246445,0.584362139917695
2020-04-19,427,3,118,306,2,729,0.00702576112412178,0.276346604215457,1,0.00234192037470726,-0.00704775098679509,-3.0093896713615,0.585733882030178
2020-04-20,431,3,126,302,2,729,0.00696055684454756,0.292343387470998,4,0.00928074245939675,0.00693882208468949,0.747658079625293,0.59122085048011
2020-04-21,443,3,150,290,1,729,0.00677200902934537,0.338600451467269,12,0.0270880361173815,0.0178072936579847,0.65738592420727,0.607681755829904
2020-04-22,444,3,165,276,1,729,0.00675675675675676,0.371621621621622,1,0.00225225225225225,-0.0248357838651292,-11.0270880361174,0.609053497942387
2020-04-23,445,3,204,238,1,729,0.00674157303370787,0.458426966292135,1,0.00224719101123596,-5.06124101629698e-06,-0.00225225225225216,0.61042524005487
2020-04-24,447,3,223,221,1,729,0.00671140939597315,0.498881431767338,2,0.00447427293064877,0.00222708191941281,0.497752808988764,0.613168724279835
2020-04-25,448,4,249,195,1,729,0.00892857142857143,0.555803571428571,1,0.00223214285714286,-0.00224213007350591,-1.00447427293065,0.614540466392318
2020-04-26,448,4,282,162,1,729,0.00892857142857143,0.629464285714286,0,0,-0.00223214285714286,-Inf,0.614540466392318
2020-04-27,450,4,286,160,1,729,0.00888888888888889,0.635555555555556,2,0.00444444444444444,0.00444444444444444,1,0.617283950617284
2020-04-28,458,4,303,151,1,729,0.00873362445414847,0.661572052401747,8,0.0174672489082969,0.0130228044638525,0.745555555555556,0.628257887517147
2020-04-29,463,4,339,120,1,729,0.00863930885529158,0.732181425485961,5,0.0107991360691145,-0.00666811283918247,-0.617467248908297,0.635116598079561
2020-04-30,465,4,351,110,2,729,0.00860215053763441,0.754838709677419,2,0.0043010752688172,-0.00649806080029727,-1.51079913606911,0.637860082304527
2020-05-01,467,4,367,96,2,729,0.00856531049250535,0.785867237687366,2,0.00428265524625268,-1.84200225645274e-05,-0.00430107526881715,0.640603566529492
2020-05-02,468,4,379,85,2,729,0.00854700854700855,0.80982905982906,1,0.00213675213675214,-0.00214590310950054,-1.00428265524625,0.641975308641975
2020-05-03,477,4,392,81,1,729,0.00838574423480084,0.821802935010482,9,0.0188679245283019,0.0167311723915497,0.886752136752137,0.654320987654321
2020-05-04,480,4,399,77,1,729,0.00833333333333333,0.83125,3,0.00625,-0.0126179245283019,-2.0188679245283,0.65843621399177
2020-05-05,482,5,403,74,0,729,0.0103734439834025,0.836099585062241,2,0.004149377593361,-0.002100622406639,-0.50625,0.661179698216735
2020-05-06,484,5,407,72,0,729,0.0103305785123967,0.840909090909091,2,0.00413223140495868,-1.71461884023181e-05,-0.00414937759336097,0.663923182441701
2020-05-07,486,5,413,68,0,729,0.0102880658436214,0.849794238683128,2,0.00411522633744856,-1.70050675101178e-05,-0.00413223140495862,0.666666666666667
2020-05-08,489,5,419,65,0,729,0.0102249488752556,0.856850715746421,3,0.00613496932515337,0.00201974298770481,0.329218106995885,0.670781893004115
2020-05-09,490,5,427,58,0,729,0.0102040816326531,0.871428571428571,1,0.00204081632653061,-0.00409415299862276,-2.00613496932515,0.672153635116598
2020-05-10,496,5,433,58,0,729,0.0100806451612903,0.872983870967742,6,0.0120967741935484,0.0100559578670178,0.831292517006803,0.680384087791495
2020-05-11,503,5,434,64,0,729,0.0099403578528827,0.862823061630219,7,0.0139165009940358,0.0018197268004874,0.130760368663595,0.689986282578875
2020-05-12,506,5,434,67,1,729,0.00988142292490119,0.857707509881423,3,0.00592885375494071,-0.00798764723909507,-1.34724983432737,0.694101508916324
2020-05-13,508,6,436,66,0,729,0.0118110236220472,0.858267716535433,2,0.00393700787401575,-0.00199184588092496,-0.505928853754941,0.696844993141289
2020-05-14,522,6,443,73,0,729,0.0114942528735632,0.848659003831418,14,0.0268199233716475,0.0228829154976318,0.853205849268841,0.716049382716049
2020-05-15,532,6,448,78,0,729,0.0112781954887218,0.842105263157895,10,0.018796992481203,-0.0080229308904445,-0.426819923371648,0.729766803840878
2020-05-16,546,6,450,90,0,729,0.010989010989011,0.824175824175824,14,0.0256410256410256,0.00684403315982263,0.266917293233083,0.748971193415638
2020-05-17,553,6,454,93,0,729,0.0108499095840868,0.820976491862568,7,0.0126582278481013,-0.0129827977929244,-1.02564102564103,0.758573388203018
2020-05-18,558,6,456,96,0,729,0.010752688172043,0.817204301075269,5,0.00896057347670251,-0.00369765437139876,-0.412658227848101,0.765432098765432
2020-05-19,569,6,460,103,0,729,0.0105448154657293,0.808435852372584,11,0.0193321616871705,0.010371588210468,0.536493971977843,0.780521262002744
2020-05-20,584,6,465,113,0,729,0.0102739726027397,0.796232876712329,15,0.0256849315068493,0.00635276981967884,0.247334504979496,0.801097393689986
2020-05-21,599,6,468,125,0,729,0.010016694490818,0.781302170283806,15,0.0250417362270451,-0.000643195279804238,-0.0256849315068492,0.821673525377229
